Department;Region;District;Kostenstelle;;
Abteilung Baden-Württemberg (BW);Freiburg;Freiburg;30901;;
Abteilung Baden-Württemberg (BW);Freiburg;Emmendingen;30902;;
Abteilung Baden-Württemberg (BW);Freiburg;Bad Krozingen;30903;;
Abteilung Baden-Württemberg (BW);Freiburg;Villingen - Schwenningen;30904;;
Abteilung Baden-Württemberg (BW);Freiburg;Lörrach;30905;;
Abteilung Baden-Württemberg (BW);Freiburg;Lahr;30909;;
Abteilung Baden-Württemberg (BW);Freiburg;Waldshut-Tiengen;30975;;
Abteilung Baden-Württemberg (BW);Heidelberg;Heidelberg;30501;;
Abteilung Baden-Württemberg (BW);Heidelberg;Weinheim;30502;;
Abteilung Baden-Württemberg (BW);Heidelberg;Mosbach;30504;;
Abteilung Baden-Württemberg (BW);Heidelberg;Mannheim;30508;;
Abteilung Baden-Württemberg (BW);Heidelberg;Bruchsal;30712;;
Abteilung Baden-Württemberg (BW);Heilbronn;Aalen;30703;;
Abteilung Baden-Württemberg (BW);Heilbronn;Bad Rappenau;30503;;
Abteilung Baden-Württemberg (BW);Heilbronn;Heilbronn;30507;;
Abteilung Baden-Württemberg (BW);Heilbronn;Tauberbischofsheim;30557;;
Abteilung Baden-Württemberg (BW);Heilbronn;Schorndorf;30704;;
Abteilung Baden-Württemberg (BW);Heilbronn;Schwäbisch Gmünd;30708;;
Abteilung Baden-Württemberg (BW);Karlsruhe;Ettlingen;30710;;
Abteilung Baden-Württemberg (BW);Karlsruhe;Karlsruhe;30709;;
Abteilung Baden-Württemberg (BW);Karlsruhe;Offenburg;30907;;
Abteilung Baden-Württemberg (BW);Karlsruhe;Freudenstadt ;30907;;
Abteilung Baden-Württemberg (BW);Karlsruhe;Kehl;30907;;
Abteilung Baden-Württemberg (BW);Karlsruhe;Pforzheim;30713;;
Abteilung Baden-Württemberg (BW);Karlsruhe;Rastatt;30711;;
Abteilung Baden-Württemberg (BW);Stuttgart;Stuttgart;30701;;
Abteilung Baden-Württemberg (BW);Stuttgart;Göppingen;30702;;
Abteilung Baden-Württemberg (BW);Stuttgart;Böblingen;30705;;
Abteilung Baden-Württemberg (BW);Stuttgart;Ludwigsburg;30715;;
