Buchungskreis;Hauptbuchkonto;Geschäftsjahr;Buchungsperiode;Belegart;Belegnummer;Buchungsdatum;Belegdatum;Text;Soll/Haben-Kennz.;Buchungsschlüssel;Betrag in Hauswährung;Kostenstelle;Auftrag;PSP-Element;Einkaufsbeleg;Steuerkennzeichen;Geschäftsbereich;Ausgleichsbeleg;Konto Gegenbuchung;Material
001;7108000;2025;1;KF;30100001;01.01.2025;16.12.2024;Giessen 46ers Ticket am 15.02.25;S;40;208,25;33010100;;;;N0;;;831044;
001;7108000;2025;1;KF;30103394;01.01.2025;30.12.2024;Werbe- und Dienstleistungsvertrag;S;40;2.380,00;10060000;;;;N0;;;14816;
001;7108000;2025;1;K1;6000048;02.01.2025;12.12.2024;37.125,000 LE LIZENZGEBÜHREN 01/2025 - 12240 Warte;S;81;441,79;10061000;;;4500153338;N3;;;12240;
001;7108000;2025;1;K1;6000048;02.01.2025;12.12.2024;50.172,000 LE Betriebskosten 01/2025 - 12240 Warte;S;81;597,04;10061000;;;4500153338;N3;;;12240;
001;7108000;2025;1;KF;30103391;02.01.2025;19.12.2024;20.Nationale Branchenkonferenz;S;40;11.900,00;10064000;;;;N0;;;830222;
001;7108000;2025;1;WA;270000024;02.01.2025;02.01.2025;"KST             10 ST ;";S;81;14,50;32040300;;;;;;;759004;Y-6530RM
001;7108000;2025;1;WA;270000083;04.01.2025;04.01.2025;"KST              2 ST ;";S;81;2,90;34030000;;;;;;;759004;Y-6530RM
001;7108000;2025;1;KF;30114102;06.01.2025;02.01.2025;Netzwerkarbeit Regionalmarke Eifel 01-12/2025;S;40;1.071,00;34060800;;;;N0;;;844055;
001;7108000;2025;1;KF;30114103;06.01.2025;30.12.2024;Aufnahmebeitrag BVMW 01.01.2025;S;40;292,75;36020100;;;;N0;;;806059;
001;7108000;2025;1;KF;30114104;06.01.2025;30.12.2024;BVMW Mitgliedsbeitrag 01-12/25;S;40;843,12;36020100;;;;N0;;;806059;
001;7108000;2025;1;KP;30114237;06.01.2025;23.12.2024;Auslagen FaceClub Mitgliedschaft 2025 #11215;S;40;96,00;36030100;;;;N0;;;6008845;
001;7108000;2025;1;WA;270000090;06.01.2025;06.01.2025;"KST              5 ST ;Tischumlegekalender 2025";S;81;7,25;10070000;;;;;;;759004;Y-6530RM
001;7108000;2025;1;WA;270000090;06.01.2025;06.01.2025;"KST              5 ST ;Vier-Monats-Wandkalender 20";S;81;4,40;10070000;;;;;;;759004;Y-6510RM
001;7108000;2025;1;WA;270000090;06.01.2025;06.01.2025;"KST              5 ST ;Plakat-Wandkalender 2025";S;81;1,81;10070000;;;;;;;759004;Y-6513RM
001;7108000;2025;1;WA;270000129;06.01.2025;06.01.2025;"KST             50 ST ;";S;81;18,12;10070000;;;;;;;759004;Y-6513RM
